Metric,Value
Total Net Profit,2386.1900000000005
Total BTO Cost,-20544.69
Total STC Proceeds,37930.880000000005
Total Deposits,15000.0
Number of Trades,21.0
Winning Trades,16.0
Losing Trades,7.0
Win Rate (%),76.19047619047619
Average Net Profit,113.62809523809526
Median Net Profit,178.72000000000003
Max Profit,10000.0
Max Loss,-1101.96
